nodes-10000,edges-9999,weights
4167,5891,26
9665,6856,29
5891,9446,32
3330,4076,33
4076,5722,13
5722,1452,2
1452,684,1
1452,1974,1
5722,6652,4
6652,8157,3
684,6324,15
8157,2749,29
2749,8214,31
8214,2401,2
8214,6606,7
2401,2553,27
2553,5222,8
5222,5332,14
5222,336,24
336,7581,20
336,3874,22
5222,9585,24
2401,3602,28
7581,1094,30
6606,3209,31
3209,4301,28
4301,5829,7
1974,9709,31
3874,4916,32
4916,8372,4
4916,942,7
942,5321,28
5321,2284,21
9585,7919,32
942,876,34
3874,145,35
4683,8582,35
5793,2787,36
2787,5910,30
7545,5177,36
1026,5375,36
5375,7275,31
7275,2570,30
2570,3057,8
2570,5235,28
5235,5951,21
5951,8899,12
8899,8467,35
8467,8305,4
2367,6577,36
6577,3664,35
3664,7396,4
3664,8827,4
7396,5606,7
5606,2017,18
2017,2903,6
5606,5196,25
5196,1462,13
876,2445,37
2445,8411,31
4916,1063,38
1063,7733,11
3199,1585,38
1585,1599,24
8155,5021,38
5021,5491,7
9334,9377,38
9377,3031,19
1462,6951,39
6951,3988,10
3988,7399,7
6951,1708,18
7399,9457,19
3988,8980,32
8980,6755,37
6755,8765,27
8765,2155,39
3148,8378,39
8378,2377,36
2094,2729,40
2729,9392,35
465,4744,40
4744,6731,39
7076,6506,40
2155,8805,40
8805,8066,13
8066,5197,15
5197,8731,10
8066,7567,20
7567,4394,37
5196,207,41
207,9600,17
9600,2062,8
2062,8469,19
2062,3601,20
9600,4435,33
4435,7882,18
7882,8610,3
207,7721,36
7721,7453,27
6252,1966,41
3199,2104,41
5321,2510,41
9446,7347,41
7347,1224,12
1599,8285,41
469,6136,42
6136,1346,21
4744,9279,42
9279,6622,8
6622,4418,9
9279,5448,34
5448,3333,2
3333,4286,11
4418,8535,34
4286,9112,34
8411,932,43
932,9060,40
9060,819,14
2903,2250,43
3346,3761,43
3761,8189,14
7396,5476,43
5476,6896,6
6896,1861,29
1861,1351,1
1861,9487,5
5476,3050,33
3050,7464,23
7464,1153,9
7464,5879,18
7464,7139,22
6896,3089,43
4759,8783,43
8783,2685,26
2685,5943,26
5943,4745,14
8783,8162,26
8162,5843,23
5843,4988,6
5843,4093,8
4988,541,31
8783,6316,38
6316,4945,18
4945,6204,14
3495,168,44
168,9211,8
168,4982,34
4982,2261,25
3510,813,44
1351,3646,44
3646,9718,24
9718,3548,21
3548,4842,21
9718,7810,39
7810,3091,23
3091,9079,25
9079,2734,1
2734,975,18
975,5651,3
5651,8094,6
975,7299,7
7299,551,18
551,8573,12
975,5640,20
5640,2240,1
975,25,22
8094,5509,22
7299,9632,22
8573,1025,26
2734,9648,30
2240,9294,32
9294,5671,32
1025,2989,33
975,8663,34
8663,8767,8
2734,1150,36
1150,6365,13
6365,2209,11
6365,6411,20
6411,4223,23
2209,4741,24
4741,5958,5
5958,4321,23
4741,3167,36
3167,1898,30
1898,3882,19
3882,4681,5
4681,9924,12
1898,2493,28
3167,7614,34
9924,8414,34
1898,4577,35
4577,6802,5
9294,4630,39
4630,860,31
860,450,13
9632,6819,39
6365,5462,40
3091,6147,40
4321,5220,41
5220,804,27
804,4372,28
4372,4637,31
1898,6778,41
6778,7687,15
7687,9351,17
7687,2004,19
8414,3127,43
3127,1790,29
1790,2422,17
7810,3005,44
3005,1751,8
1751,5553,23
1751,1186,38
1186,1533,14
1186,3759,27
1186,2057,41
8805,3699,44
8189,4061,44
4061,3940,39
3940,1053,31
1053,5777,5
5777,4320,3
4320,8459,32
8459,1083,29
1083,3454,14
1462,6633,44
6633,5259,12
5259,9330,43
9330,1382,15
9330,5427,28
5427,5431,20
9330,3024,44
3024,2815,38
2815,530,31
7139,8182,44
530,8636,44
8636,3036,25
3036,5755,40
6411,9817,44
9817,2329,18
3761,2326,45
8467,3308,45
3308,8248,19
1708,3508,45
5416,3806,45
3806,51,25
511,5262,45
5021,5280,45
5280,9826,25
3733,5690,45
4924,5996,45
5996,3912,10
3912,31,16
31,1700,15
1700,5795,12
5795,7383,1
7383,801,5
7383,2213,12
1700,3741,33
801,6420,40
6420,6299,43
6299,409,42
409,2512,26
2512,8321,19
8321,6935,12
6935,1887,2
1700,1286,44
1286,2735,4
1286,9729,14
9729,5400,23
2735,4656,31
4656,457,27
31,3472,44
3472,9361,27
3472,670,39
670,415,31
9361,9436,42
3472,9270,43
31,121,45
121,9581,29
5725,6024,45
6024,8436,22
8436,9092,6
9092,7045,22
7045,9451,16
7045,9610,29
9610,5883,19
5883,915,6
8436,9107,37
9107,6542,18
9451,9224,40
9610,6625,41
6625,8669,37
6024,7862,41
7862,6627,33
7862,4125,42
4125,7460,4
7045,9109,44
9109,9663,33
9109,2581,39
2581,9900,27
3300,6475,45
6475,9532,21
9532,64,39
64,4008,15
4008,6309,12
6309,2350,41
2350,2477,5
2350,3271,19
2477,8196,33
8196,2281,16
8196,6273,21
2477,2849,44
2849,4004,35
4004,6844,3
4004,2651,41
7504,6575,45
6575,3114,6
6575,6684,18
6684,8562,41
8562,8681,2
8681,8131,4
8131,4587,26
8131,1704,31
1704,9363,11
9363,5466,21
9363,1514,28
8131,9733,31
5466,9603,32
1704,6710,38
1704,3767,41
8562,7905,43
7905,7019,11
9363,5513,45
5513,807,15
5513,9799,18
440,6614,45
1167,6700,45
6700,5561,31
9148,6705,45
6705,9982,15
9982,642,2
642,7914,3
9982,4529,25
7914,7693,30
7693,2356,31
2356,3516,14
642,6884,33
4529,190,34
9389,6916,45
6916,109,30
109,3446,43
3446,4177,6
4177,5917,19
5917,6946,17
4377,7090,45
1273,7226,45
7199,7417,45
7417,1073,7
1073,7739,16
7739,5390,43
5511,7853,45
7853,3264,18
3264,4811,9
4811,2552,32
2552,5343,12
5343,7912,44
7912,8664,11
8664,6123,15
3530,7980,45
7980,4518,12
4518,5783,12
5783,2426,9
7980,9414,20
9414,9625,35
4518,8428,36
5783,5870,43
2426,7035,43
7035,8479,1
8479,2465,25
2465,4716,5
7035,7659,25
8479,8445,31
8445,4241,2
7659,362,32
362,4746,30
362,7018,30
8445,6332,37
6332,4536,7
6332,8544,9
8544,1907,5
6332,4952,20
4536,3626,38
7018,6796,39
6796,4899,20
2465,8777,39
8777,6282,5
8777,8337,10
8337,9070,2
6282,9536,11
9070,3886,42
3886,1339,12
4241,7715,42
7715,1477,4
4746,9358,42
9358,5731,5
8445,4612,44
3167,8148,45
5096,8512,45
8512,2748,33
4206,8898,45
8898,8102,44
8102,8778,40
144,8987,45
8987,556,5
8987,6552,20
6552,870,32
870,840,21
840,8675,10
8675,6177,22
6177,1850,12
870,6334,25
870,3654,27
6334,1320,39
450,9332,45
5662,9623,45
9623,5832,22
5832,276,6
276,2161,21
9623,5460,24
276,6161,24
276,1159,26
6161,4883,31
4883,9815,1
5460,3965,34
3965,1157,2
1157,7974,2
7974,4136,15
4136,8109,2
4136,5311,5
8109,1499,10
5311,6794,16
3965,1952,20
1499,4449,27
4449,673,6
4449,6460,24
6460,7054,5
1952,160,33
160,697,32
697,9271,19
4449,2143,33
2143,9570,7
9570,4481,29
4481,4480,14
9271,6266,34
160,7525,34
6161,6239,35
6239,543,12
543,8403,15
543,3468,25
1157,2922,36
2922,8374,31
8374,7447,28
7974,5886,36
6794,1612,37
1612,4245,4
4245,4193,1
1612,5082,11
4245,4436,15
4193,8718,27
8718,1329,14
9570,8172,37
5832,7513,38
4245,5134,39
5134,6746,2
6746,3059,7
5134,2531,23
6746,241,31
241,742,10
742,6989,19
742,5244,37
5244,5982,16
5982,4357,31
4357,2443,18
2443,8488,15
2443,6695,34
5982,1365,37
241,3061,39
3061,2103,22
2103,708,1
3061,7174,35
5982,7471,39
5244,6554,40
5886,7901,41
6695,2548,44
2548,1908,5
1908,6565,20
2548,9811,20
9811,6696,19
6565,8626,31
1908,7352,37
6565,7492,39
5244,6321,44
6321,8815,42
8815,3826,11
8815,3482,20
276,4717,45
1150,9726,45
9726,1773,8
8967,9769,45
9769,7441,29
7441,9205,16
9205,7819,13
7819,5838,15
9205,4525,25
4525,1657,26
1657,8170,1
8170,5758,36
7441,4027,39
4027,221,6
221,1988,6
5838,8279,43
8279,2648,10
2648,4130,2
8279,6308,16
4130,4413,31
4130,2340,36
4413,5697,37
5697,8786,13
4413,1387,45
8092,9858,45
9858,8382,11
8382,4128,4
4128,7910,4
8382,2939,5
9858,139,22
139,5293,18
139,5534,26
5534,2739,26
2739,2965,16
5534,4354,26
4354,2157,7
9858,9593,26
5293,8001,32
8001,9951,33
9951,153,24
9951,5616,28
9858,5663,41
5663,4045,4
4045,9356,29
9356,4143,11
4143,9346,10
9356,4690,11
9346,3859,40
3859,4424,8
3859,1383,19
4424,8055,20
1383,285,31
285,7371,9
9593,5856,44
5663,5109,45
1610,9943,45
9297,595,46
595,7278,44
4759,957,46
957,3969,8
3969,33,9
33,2386,20
957,2871,28
33,8091,36
8091,9851,11
9851,8643,1
8091,7605,17
9851,5412,26
5412,5680,8
5680,1235,27
1235,5714,13
7605,2728,28
2728,2541,24
5714,3764,32
2541,6682,32
1261,1000,46
7567,1268,46
1268,2850,45
2850,5549,38
5549,2376,30
2376,9030,8
9030,6141,1
6141,5585,41
7213,1375,46
1375,290,4
290,200,34
200,1688,27
200,1397,36
1397,4025,43
4025,7016,12
7016,5111,7
7016,7232,21
5111,5675,24
5675,3611,21
5111,7281,25
7232,5715,30
5715,4292,41
4094,1473,46
1473,6961,30
6961,8478,25
1365,1726,46
1726,6963,21
6963,7101,28
9500,1929,46
1929,1562,18
1562,3418,25
3418,6199,3
3418,5924,7
6199,9962,10
5924,9381,23
1562,8791,34
9962,787,45
787,9100,14
9100,9975,22
9975,5687,14
9381,1904,45
1904,777,21
1904,4854,39
4854,7436,37
8791,2335,45
9100,5898,45
9381,1258,46
1258,4113,6
1846,2016,46
4577,2149,46
37,2507,46
2507,2546,19
2546,3411,10
3411,4826,10
4826,5040,5
3411,2141,22
2141,5139,4
2546,5382,40
4737,2559,46
4874,2876,46
4610,3183,46
3183,9217,34
9217,7714,26
7714,1928,18
1928,6169,44
7478,3310,46
3310,3553,41
7862,3708,46
3708,8978,4
8978,5902,7
8978,4798,17
4798,7345,20
5902,1758,35
4798,7200,40
7200,4489,12
7200,4288,13
4489,8280,14
8280,4849,12
7200,14,24
14,7390,1
7390,5068,32
4288,9053,36
8639,3843,46
3843,459,36
459,7288,28
7288,691,2
691,6929,2
691,1196,14
691,5906,27
5906,3596,4
5906,7939,22
7939,1801,10
5906,9710,26
9710,9261,12
9261,8013,21
8013,3371,13
3371,9694,17
9710,3294,23
3294,662,4
662,7175,5
7175,1270,12
1270,4194,13
7175,1447,16
1270,5866,18
4194,2537,19
2537,9097,20
1447,7820,24
662,367,28
367,2003,2
367,9757,27
9757,7931,25
7931,2955,11
2955,1434,21
3294,4352,28
7820,7062,28
1801,5501,29
5501,136,30
136,2090,32
2090,8661,16
6929,8501,32
8501,9429,12
9757,7236,36
7236,3583,22
3583,1463,30
1463,1746,10
1746,929,38
929,4358,28
5866,6214,40
6214,7617,28
3583,3836,42
25,4179,46
4179,2067,35
4372,4225,46
1850,4405,46
4405,9850,16
11,4498,46
4498,7553,10
2089,4590,46
4590,3828,44
2723,5173,46
5173,6939,15
684,5454,46
5454,4768,30
4768,93,12
93,4238,7
4238,1644,27
1644,2118,32
93,7100,40
7100,3481,15
93,7017,43
7017,2601,5
2601,6001,6
6001,6862,7
3343,5493,46
5493,4911,13
7115,6099,46
6099,8871,22
6099,1336,27
1336,2269,34
8871,3881,34
3881,8355,33
8355,2237,15
8355,3769,21
3769,8064,16
2237,3850,23
3850,4199,10
4199,283,11
4199,1243,11
3850,8367,11
8367,3962,27
8064,7700,31
7700,7273,7
7700,5376,23
5376,2011,7
2011,6310,10
7273,8311,28
3962,4669,33
4669,9357,18
9357,7953,12
9357,3790,35
283,7689,35
283,6975,36
6310,1847,37
4199,3016,37
3016,2650,8
3016,5459,8
5459,1680,31
2650,5089,36
5089,177,27
177,5496,19
5496,4581,33
1336,2762,39
2762,7426,7
7426,1232,6
2762,9375,22
1232,7804,32
2762,6673,35
2762,5998,39
5998,7212,30
7212,7405,9
7405,6483,14
1232,4893,43
4893,1625,11
1625,9529,11
1625,6756,30
6756,6690,2
6690,8942,25
6756,6486,39
6486,3201,7
3201,7146,32
7146,1738,13
1738,1295,1
1738,6284,18
6284,2711,1
2711,6295,23
1295,8911,33
8911,6986,21
6986,4507,40
4507,3084,19
4507,9940,25
3084,9292,37
3201,7189,40
7189,8056,40
8056,2948,4
8056,9105,6
9105,1820,1
1820,5374,10
9105,1170,29
2948,5024,38
9105,4471,42
3790,7482,44
5459,5750,46
5750,5494,2
5494,2093,8
2093,5432,41
5432,9920,3
5750,6462,43
6462,8481,38
8481,2896,16
2896,2313,27
2313,296,16
296,8823,14
8823,977,14
8481,966,31
7426,5863,46
5863,881,16
881,2926,28
2926,2486,19
881,3141,31
1317,6279,46
9799,6492,46
9073,6815,46
6815,8524,25
8524,2830,7
8524,9136,17
9136,3926,10
9136,1583,29
8524,2307,43
2849,7234,46
7234,6714,6
6714,4853,12
6714,2158,26
2158,1263,1
1263,3200,5
2158,7206,26
7206,8497,12
1263,7822,27
6714,2793,30
2793,7186,2
2793,4011,7
4011,4262,14
4262,8241,7
8241,3469,24
3469,7945,16
7945,908,19
908,5248,2
5248,9863,10
5248,1558,11
4853,2065,31
8497,9336,31
7234,1436,35
1436,4022,10
4022,2710,16
2710,3326,15
4022,8822,17
3326,7269,23
7269,8199,16
2710,3514,29
2710,1762,31
1436,7223,35
7223,4291,6
4291,5512,4
5512,3425,29
3425,6171,1
3425,3285,25
3285,2608,7
3425,9564,29
2608,9840,31
7186,3573,36
3573,6983,31
4262,1968,37
1968,1959,9
1959,1843,4
1959,9621,9
1968,1116,12
1843,5317,25
2793,6885,38
9863,1164,40
1164,8154,15
1164,9394,19
9394,2658,21
1762,737,42
737,508,36
508,8047,36
8047,4074,19
8047,1694,23
5512,4253,42
4253,1404,22
1404,8317,12
8317,2351,28
2351,8124,4
4253,7496,30
2351,4469,33
4469,4605,11
8317,3711,40
3711,7590,17
7223,4896,42
4896,1933,39
7945,7971,42
7971,3456,7
7971,2147,18
2147,7289,16
7289,8212,37
7971,7646,38
7646,5966,4
5966,2177,30
6885,891,43
6171,3587,43
3587,4724,10
4724,9845,21
9845,5779,9
5779,6258,9
5779,6923,23
6923,5634,19
9845,4888,31
4888,7373,16
7373,1335,4
1335,2117,9
7373,2653,18
2653,6914,18
5248,7829,43
7829,6466,27
4469,2982,44
2982,2027,37
2027,1876,2
2982,7348,38
7348,8231,11
8231,7334,6
7334,3816,16
7334,3144,25
3144,1212,35
2982,6883,39
7334,7374,39
7374,2864,23
2864,7057,3
7057,9456,21
2864,5611,22
5611,3094,18
3094,9675,1
3094,1162,10
1162,1611,20
9456,703,23
1611,752,32
752,3075,8
7374,2897,33
7374,1068,34
1068,4073,23
1068,513,26
513,3477,24
4073,8772,27
5611,245,38
7348,204,41
3816,9624,43
9624,5900,24
4011,3541,45
3541,8854,24
8854,5403,17
5403,9458,1
5403,4209,31
4209,2788,38
2788,3971,13
7334,7463,45
7206,2759,46
2759,3934,29
3934,4734,44
4734,2049,38
2049,3068,8
3068,1814,6
1814,6638,15
1814,6288,22
2049,5871,24
5871,3680,1
3680,6479,11
6638,1269,36
2049,7913,36
7913,5552,1
5552,8983,17
1269,7214,38
7214,856,6
7214,8611,8
856,6393,23
856,9137,31
9137,4682,16
4682,9450,15
9450,8956,18
4682,5084,26
8611,2469,33
4682,9847,34
9847,4059,2
9847,8640,6
4059,154,29
154,9405,4
154,2577,37
2577,7389,28
9137,4263,38
4263,9644,24
9644,2172,18
2172,8687,7
154,3324,40
3324,1015,12
3324,2623,31
856,3325,42
3325,4650,30
4650,9044,19
6393,4783,42
4783,4949,5
4949,1272,7
1272,7618,4
1272,2949,14
4783,5251,30
5251,1997,37
1997,1870,24
8640,7784,45
1212,4500,46
4500,462,4
3144,6180,46
4133,7238,46
7238,4742,9
4742,379,7
7238,9993,15
7238,4538,22
4742,6635,26
6635,4117,3
379,272,35
272,8059,7
272,6256,17
4538,3619,35
3619,7639,9
7639,770,14
770,1522,11
770,5535,16
5535,9910,26
770,4224,29
4224,959,9
959,8346,12
959,1408,15
5535,6330,31
6330,1014,7
1014,5147,14
5147,1913,19
5147,5241,29
5241,7274,26
9993,1932,37
1932,6150,21
8346,4069,37
770,4149,41
4149,8475,1
8475,759,8
759,4261,25
5241,2071,44
2071,3268,8
3268,110,27
3268,2740,35
2740,8030,19
8030,9959,15
8030,9448,34
9448,6849,18
2071,4950,37
9959,8936,40
110,6722,43
6722,7981,8
7981,4569,34
4224,3597,45
9910,7317,45
7317,3812,21
5829,7265,46
7265,9712,16
9712,1287,9
8305,7272,46
8772,7376,46
7376,9998,1
7376,213,29
213,5526,29
213,7938,32
9998,4774,36
4774,1511,5
4774,8288,35
8288,2396,2
8288,2496,45
9504,7517,46
82,7781,46
7781,1421,10
7781,2708,12
2708,8080,20
8080,7726,20
4101,7944,46
7944,6068,11
1477,8402,46
8402,4985,6
8402,4395,28
4395,6981,35
6981,1393,13
1393,5705,17
6981,7165,19
1393,7661,23
7661,517,45
517,9071,11
9071,8437,22
8437,1962,21
517,2814,30
2814,4851,44
5586,8421,46
9696,8867,46
3453,9274,46
9274,768,21
768,172,9
768,2111,14
2111,6913,31
2111,6920,36
6920,723,27
2111,2423,37
6491,9339,46
1751,9475,46
9475,9976,3
9976,8223,6
8223,1040,7
1040,4743,24
4743,2415,2
2415,125,1
9475,293,43
1040,8768,43
290,9955,46
9955,7277,12
9955,7353,26
7353,380,9
5134,307,47
6186,390,47
390,1373,14
1373,4604,4
4604,8180,16
8180,373,46
373,9749,5
9749,4987,27
4987,9969,37
9969,6847,6
6847,623,28
1083,564,47
1870,572,47
572,3478,20
3478,643,24
1757,638,47
638,9245,1
9245,1456,3
1456,6543,7
9245,8041,11
8077,713,47
713,5298,9
713,7796,11
618,734,47
734,7058,31
7058,4233,11
4233,122,27
122,8583,20
9042,1501,47
1501,7413,1
7413,5686,38
2237,1538,47
6052,1628,47
1907,2297,47
2297,2365,9
2365,931,11
6891,2458,47
2458,9153,23
9153,2435,19
2435,2271,27
2271,8717,12
8717,2700,30
2458,2146,35
2146,2906,18
2906,2180,10
2146,4058,18
4058,1234,33
1234,2099,4
2099,4195,14
1234,7111,19
4195,3673,20
2906,3823,35
3823,6271,5
6271,3685,34
4058,9706,38
7111,6151,39
6151,3832,15
3832,3235,33
9153,7861,41
7861,6185,30
2180,2962,45
2962,1965,21
1965,6845,15
6845,6715,42
6715,2930,39
6271,8484,46
8484,6672,8
8484,5281,30
5281,5424,15
6672,8228,35
8228,1377,23
1377,1124,4
1124,1880,7
1124,6775,13
1880,421,20
421,5581,25
1880,1748,29
1748,7384,27
1377,5825,33
6407,2467,47
2467,1168,20
2467,6842,46
6842,8292,29
8292,7485,17
7485,4309,24
7485,1761,46
1761,4767,1
1761,1650,12
4767,1731,15
4767,9886,25
2432,2511,47
2511,6155,3
2511,1587,25
1587,3289,20
3289,6585,4
3289,8169,7
6585,2966,22
1587,4701,26
8169,1881,37
2511,7158,39
3289,6999,45
9270,2703,47
6434,2761,47
2761,6812,28
6812,8801,8
4011,2917,47
2917,6730,20
6730,6508,29
6508,8685,2
8685,9791,21
9791,8587,15
2917,5600,30
5600,158,21
158,9534,5
9746,3080,47
5495,3104,47
3104,1604,6
1604,9859,30
9859,7704,5
7704,7249,19
7249,3696,14
9859,4323,27
4323,2260,36
7704,5217,36
5217,9201,8
9201,9627,17
5217,5583,24
5583,4915,7
9201,2544,29
2544,7868,26
7868,9262,14
4915,586,36
586,5199,17
5199,5225,4
5225,4002,30
9706,3119,47
4315,3174,47
3174,4019,25
4019,7620,41
8032,3260,47
3260,4861,8
4861,8076,23
8076,6985,2
3260,2756,25
4861,8570,37
8570,7082,13
7082,9657,17
7082,6525,32
6525,2932,27
2932,3521,36
3521,7604,21
2756,2196,39
2932,7783,40
7783,8974,4
7783,9141,39
9141,2215,32
6525,982,46
982,9477,7
982,5691,23
5691,897,7
5691,339,17
339,3106,2
5691,4018,38
9477,9240,42
1966,3315,47
7101,3351,47
957,3400,47
3400,3744,31
3744,6836,27
9962,3464,47
3464,5621,26
5621,111,29
5621,4502,42
4502,1460,8
4502,1324,19
1460,1134,29
1324,7240,33
1134,1054,34
1460,2547,40
2547,8334,31
8334,5815,23
5815,8053,44
8053,2327,20
2327,9108,41
9108,973,40
973,2833,36
2547,8706,44
8706,4956,46
4956,3098,45
4900,3499,47
3499,9979,7
9979,4138,36
4138,533,8
533,6314,26
533,8150,30
8150,3939,40
3499,901,42
901,4781,23
5731,3918,47
5898,3942,47
3271,4068,47
4068,4643,23
6833,4254,47
6479,4353,47
191,4423,47
4423,142,15
9940,4562,47
4562,3981,45
3981,6364,7
6364,1842,11
6364,7256,14
7256,2134,10
7256,4751,13
3981,4072,26
4072,4551,12
4551,6879,17
6879,7775,1
6879,4975,9
6879,8088,12
8088,1570,16
1842,2287,31
2287,3085,4
3085,2091,28
4072,231,33
231,194,32
194,22,1
22,6157,35
4072,9014,39
8088,4508,43
4508,938,34
4101,4784,47
4784,6906,21
6906,1033,36
1163,5215,47
5215,6908,46
3826,5335,47
5335,7004,13
7004,7672,13
7004,6857,15
7672,9880,23
7672,2014,28
2014,8433,6
2014,7695,21
5335,7667,28
7667,6457,18
643,5637,47
9016,6145,47
6145,6303,26
6303,4675,5
6303,2971,31
2971,4038,18
4038,6164,4
4675,5865,33
5865,4931,6
4931,1496,37
1496,68,9
6303,3441,39
3441,2364,17
4931,4196,40
6145,3679,41
4884,6637,47
6637,3600,6
4018,6780,47
7780,6877,47
6877,8722,10
8722,688,10
688,4870,11
4870,5357,14
5357,2528,7
4870,3893,19
8722,1093,22
1093,7858,18
4870,4303,23
4303,8034,4
8034,4258,1
4303,4205,28
4205,6597,11
8722,6841,28
6841,3532,17
7858,5358,41
7858,838,42
6877,9101,44
9101,5450,20
5450,3799,45
3799,3435,37
8848,6926,47
7658,6944,47
6944,9002,23
6944,3291,42
3291,7656,6
7656,430,5
7656,1251,32
7575,6972,47
7394,7283,47
7283,9592,18
9016,7308,47
5861,7418,47
7418,2877,17
164,7442,47
7442,3957,8
7442,6362,14
3957,9986,22
9986,4046,8
6362,9926,35
9926,956,20
956,3878,15
9926,800,21
9926,69,27
69,8842,1
3878,8431,29
8431,9080,20
3878,1070,31
1070,4809,19
1070,7028,29
7028,104,16
7028,2499,33
104,826,34
4809,5252,35
5252,4088,17
69,7794,37
69,2660,38
9080,2731,38
2731,571,17
571,7587,13
571,7654,40
7587,3487,46
3487,4411,38
4411,2789,42
2398,7541,47
7541,3480,21
3480,6721,24
7541,6124,43
4291,7660,47
7660,4947,14
1085,7778,47
2792,7779,47
7779,1824,19
1824,4596,33
4596,5218,6
4596,6873,44
9832,8122,47
8122,4589,44
4589,1631,36
1631,1433,41
1433,6698,4
6698,5771,8
1433,5907,17
1433,823,32
5771,1490,38
1490,2130,45
524,8144,47
4074,8200,47
8200,9055,39
8200,9266,39
2281,8315,47
8315,9159,39
2653,8483,47
8483,3099,10
8483,9075,34
8483,6493,39
6493,627,29
627,3657,27
3657,3048,8
6493,8304,33
8304,7432,5
8304,3567,14
7432,2595,34
2595,4362,9
3657,2219,38
3048,575,39
575,9666,18
9666,4720,1
4720,7855,31
7855,5152,2
5152,8790,18
575,3214,47
7789,8697,47
8697,8803,43
8803,8704,42
8697,3808,47
3808,4957,39
3808,8799,39
8799,6351,18
6351,863,6
863,7202,2
7202,5418,21
7202,4184,26
5418,7030,29
5418,2374,36
2374,7250,18
7250,6170,12
5418,8654,36
6351,9916,37
9916,62,8
62,7193,1
7193,8568,19
863,7566,40
7566,2436,8
7566,6,30
4957,1423,43
8568,4787,43
6684,8951,47
1701,9022,47
9022,1130,9
9022,7318,43
7318,5560,30
7054,9384,47
4842,9390,47
554,9466,47
9466,4539,16
4539,853,4
853,7955,13
9466,1482,26
1482,2131,15
2131,842,10
2131,3121,17
9466,5670,26
7955,3116,33
5670,4789,38
1482,1906,41
1906,5234,19
5234,7986,12
7986,7409,26
7986,8294,30
8294,165,19
7986,2722,34
8294,8011,36
8011,1412,2
4373,9541,47
9541,1448,12
1448,5118,18
5118,8502,46
8502,3386,32
4074,9701,47
9701,6489,25
9659,9857,47
286,107,48
4682,229,48
229,9307,40
6985,242,48
242,205,29
205,861,5
7617,370,48
370,9063,41
9063,6003,43
8276,464,48
464,4963,8
1157,1115,48
1115,3506,33
3506,8913,14
8913,2040,4
3506,1174,20
1174,3857,23
8913,3978,28
3978,3917,25
8913,3829,30
2040,5320,34
3978,7305,42
7305,5506,9
5506,2564,5
2564,5711,22
5711,3841,13
3841,9341,6
3841,5678,24
7305,6182,25
1174,3246,45
3246,9188,44
9188,6196,35
3246,4028,46
7305,8033,46
8033,9752,23
9752,4331,21
4331,9576,18
8033,6602,37
6602,6335,19
6602,8795,28
6602,2306,37
2306,9887,22
9887,8696,31
6602,6173,38
2306,7857,41
9341,431,48
2030,1213,48
1213,4859,25
4859,9679,39
6550,1327,48
4228,1461,48
1461,2001,10
1927,1550,48
1550,4273,5
1550,8813,42
530,1551,48
5081,1930,48
1930,5009,4
6731,2022,48
2022,6761,5
5139,2189,48
2189,1729,46
6802,3097,48
3097,852,46
852,2639,20
2639,1459,24
1459,989,20
1459,9263,33
9263,2325,10
2325,8821,34
1459,6615,38
6615,3686,13
3488,3565,48
3565,1067,16
1067,8424,5
8424,6050,5
3565,8824,24
8824,1812,2
6050,682,27
2091,3581,48
8424,3638,48
3638,7191,38
7191,2446,30
2446,6367,34
7191,7222,36
380,3903,48
8973,4879,48
6186,4909,48
4909,1394,18
1394,9376,33
9376,6631,15
4909,5016,34
6631,7527,47
7527,2005,2
2057,4993,48
7992,5014,48
5014,4043,14
4043,7840,29
7840,1902,4
7840,994,6
7840,4758,16
4758,7366,11
4758,5360,15
994,3485,20
1902,8232,26
3485,4636,28
4636,1606,27
6266,5349,48
5349,2455,19
2455,21,22
21,3560,21
21,2990,26
2990,3818,23
3818,5442,15
2990,3420,29
5349,1027,38
3560,7096,45
7096,8927,14
8927,719,27
719,4378,8
7096,7729,42
7729,3223,24
3223,3132,1
3132,837,5
3132,2504,22
8927,1088,47
1088,6497,7
1088,6369,19
7352,5449,48
5449,6385,39
5680,5814,48
5814,2886,25
5814,3984,42
2886,4520,47
4520,54,23
6836,5881,48
2876,5911,48
9405,6078,48
6078,7936,6
9588,6181,48
4840,6244,48
6973,6278,48
6278,9869,3
6278,9771,34
9771,6752,33
6752,8139,18
6278,3755,40
3755,3244,32
3755,5210,34
5210,9846,22
9869,4844,43
3755,8,47
8,2302,40
2302,3225,22
3225,5289,48
5289,2311,28
4781,6424,48
6424,4168,6
9093,6559,48
450,6787,48
4418,6834,48
6024,7244,48
7244,8721,33
8721,8460,6
7244,672,34
672,3771,16
3771,661,25
8721,7947,35
3771,3558,39
3558,8742,18
8742,9036,13
3558,1559,24
7947,1815,42
8742,9914,47
9914,9650,47
9650,9246,16
9246,6187,29
6187,4024,2
4024,2176,21
2176,8143,1
2176,9821,18
6187,7708,33
9246,7591,39
7591,3615,39
3615,8211,5
8211,5945,16
9246,3430,46
3430,5060,24
5060,5256,9
5953,7294,48
8334,7307,48
7307,2627,26
2627,8715,18
8715,946,4
946,2884,6
7689,7329,48
7329,8628,43
8628,616,5
616,5696,11
616,7363,14
5696,9049,39
616,12,48
3563,7709,48
7709,9273,13
9273,4928,45
4928,1086,7
2548,7828,48
3201,7850,48
7850,488,1
7850,6651,21
488,2960,31
2960,6676,23
6651,9662,36
9662,143,3
6676,7569,37
7569,4951,6
4951,1740,15
6651,1649,47
