nodes-10000,edges-9999,weights
8882,8920,30
8920,8331,13
9042,1019,31
9866,1947,31
1947,3220,29
3220,2562,22
3220,1261,26
1261,6129,17
6129,2439,17
8206,6520,31
6520,2135,10
1947,97,32
97,37,17
97,2792,19
1852,5032,32
5032,1372,3
1372,5130,8
5130,7340,5
7340,4610,16
4610,9630,21
9630,8737,21
1372,3086,24
7340,1835,27
1835,2898,17
8331,5329,34
5329,1356,8
1356,5538,14
2135,1647,35
1019,333,36
333,5112,24
5112,9253,12
9253,7670,7
9253,3591,33
7670,4364,34
940,1074,36
37,9461,36
9461,1730,1
1730,5341,6
1730,4137,7
5341,8959,11
8959,579,3
579,4122,8
8959,1021,28
1021,9646,26
4137,4016,34
579,6354,35
1261,3791,37
3169,8104,38
8104,5949,31
5949,1181,13
5949,8308,14
1181,4609,18
4609,6533,7
1181,7478,20
7478,7215,3
8308,5842,22
8104,6186,36
6186,9029,33
8308,9081,37
3086,8505,38
8505,3218,3
3218,847,28
847,162,9
847,8900,37
8900,8923,33
8923,2848,9
7215,1983,39
1983,9045,35
9045,3115,33
3115,9017,25
9017,8812,18
8812,7996,14
7996,9411,13
9411,532,11
8812,9956,35
9956,322,9
322,8438,10
8438,591,4
591,5158,11
9956,1127,19
1127,6407,12
1983,8866,37
9530,3173,39
3173,5868,33
5868,7433,4
7433,5627,21
5868,2442,35
2442,8420,25
8420,2676,20
2676,8762,20
2442,1231,32
1231,3905,3
1231,8797,23
8797,7956,21
1231,9608,23
9608,3433,12
9608,6346,27
6346,8684,2
3433,3159,30
3159,1987,12
1987,8202,16
8202,676,5
7956,8276,30
8684,849,31
8276,3154,33
3154,4804,18
4804,1031,33
1031,6002,3
6002,7634,12
7634,8106,14
8106,1085,27
1085,5324,9
5324,5718,25
5324,5721,32
5721,5807,16
5718,6052,32
1031,9037,32
9037,1149,5
6346,8077,33
8077,5763,5
1149,9085,34
3905,3340,35
3340,7115,17
3340,7359,27
7359,7420,11
7420,7531,8
7531,5516,11
5516,9925,21
9925,877,9
9925,4968,28
4968,745,12
3340,3997,32
3997,2945,35
2945,9505,29
7115,3172,39
3172,7296,19
7296,8530,11
8530,6683,26
6683,5094,11
5094,6816,13
6816,3290,17
6683,7421,18
8530,4528,27
4528,3715,3
3715,5279,8
4528,9596,19
3715,6120,27
5279,5304,30
6120,2230,36
2230,3943,28
3943,3563,25
3563,7199,19
3943,4124,28
3173,6679,39
6679,5371,31
8968,726,40
9017,1984,40
1984,7991,8
1984,1504,10
1504,4363,15
1984,5336,19
7991,7918,19
7918,6455,14
6455,9746,21
9746,4970,19
1504,5278,30
5336,3733,39
3733,4597,15
4597,392,31
676,3952,40
3952,1455,18
3952,7575,26
9029,5533,40
5533,8651,4
8651,1274,14
8651,8325,27
7634,762,41
762,9772,27
9772,1900,12
9772,8489,25
8489,584,2
8489,898,15
1900,9658,32
9658,2291,17
2291,4991,23
4991,640,31
4991,3537,32
2291,9999,36
8489,527,37
527,821,19
898,2275,41
4016,4634,41
4634,9614,14
9614,2110,34
2110,4187,3
2110,5219,25
5219,7668,27
532,4839,41
4839,7176,22
7176,3092,16
3092,706,5
3092,3139,11
3139,8872,5
8872,6088,6
3092,7520,12
7520,8638,8
7520,8153,9
6088,3858,16
3858,4312,11
4312,5937,6
5937,6154,2
7520,91,17
91,4935,14
4935,8446,9
8446,9115,16
9115,8937,5
4312,6465,21
8638,9618,21
9618,9578,14
9578,8487,20
9578,5186,22
706,5736,22
5736,8796,19
8638,4803,23
706,6805,24
6465,8158,24
5186,1867,25
5736,9700,27
8937,6654,28
6654,7078,11
6654,192,24
192,8814,25
8814,6747,19
6747,5055,2
5055,1442,16
5055,8760,17
8760,9057,12
6747,1340,21
1340,2963,26
706,4887,29
4887,5149,26
4887,774,27
774,5000,7
3858,925,30
4935,629,33
4803,953,34
953,7116,35
7116,3412,18
5055,6073,37
6073,4505,14
5149,4086,38
4086,9365,32
9365,554,19
554,8642,2
8642,5061,5
5061,8557,2
8557,7867,9
8557,4869,32
8937,7927,38
91,8025,38
8025,8022,21
8022,2919,15
2919,7021,20
7021,3574,19
8025,1189,24
1189,4579,13
1189,3662,36
3537,6893,41
6326,4282,42
4282,8123,19
8123,1084,18
1084,8136,14
8123,2770,18
4282,7632,29
7632,8393,7
8136,6544,35
6544,8380,18
8380,7780,19
7780,2372,29
7780,1786,37
1786,440,20
440,6275,19
1786,5953,31
1786,3572,35
3572,6711,38
6711,6694,2
6694,5787,7
5787,3069,9
6694,698,20
698,1685,28
1685,5366,4
698,8399,38
8399,5643,6
8399,9643,24
7632,5285,39
5285,5608,5
5285,6744,23
5285,8690,29
8690,5208,22
8690,9296,23
9296,3280,16
3280,4782,22
5608,9249,36
5608,432,37
432,2984,36
2984,1297,33
1297,8244,23
8244,1155,24
5643,8698,39
3572,5974,40
5953,8586,40
698,5564,41
3069,8847,41
8847,1308,36
4869,6665,42
5627,9935,42
9935,5520,12
5520,962,9
962,1778,4
9935,5808,20
9935,3184,25
5520,3871,25
3871,2054,3
3871,4761,19
2054,1645,28
1778,4257,28
4761,9148,28
9148,140,2
140,9824,11
9824,4685,9
9824,1759,19
9935,5603,30
5603,1681,10
5808,2661,34
4685,3552,40
4761,2687,42
2054,4519,42
4519,5405,8
5405,8435,18
5405,916,26
8435,2778,29
4519,7750,32
640,660,43
440,1317,43
5718,1765,43
1765,264,42
3905,1793,43
4610,1989,43
5208,3309,43
3309,6664,32
6664,4874,20
4874,6786,12
6786,4793,36
4793,7705,42
7705,433,11
433,2061,17
2061,3931,9
3931,844,8
2061,6895,11
3931,7153,21
7153,7504,1
7153,3985,3
7504,9635,20
9635,3343,1
3985,2023,23
9635,7565,32
7504,9591,41
9591,9684,3
2110,3901,43
5413,4417,43
4417,7753,34
7753,7002,6
7002,9750,16
7753,180,20
180,4325,10
4325,4054,10
4054,519,5
519,3891,10
3891,6869,15
7002,9645,20
519,692,34
692,4399,8
692,8531,8
8531,6213,17
6213,6383,31
6383,4614,10
6383,5712,23
5712,3645,8
4614,4190,24
4417,6808,37
6808,3443,22
3443,4776,35
4776,1451,37
1451,1319,27
1451,3695,30
1319,3009,37
7753,3160,39
3160,3963,16
3963,8719,10
3160,3669,40
3669,8888,11
9750,4837,40
4122,4546,43
4546,8398,19
4546,5495,20
5495,3966,31
5087,4657,43
4657,7502,9
7502,7798,29
7798,8896,5
8896,6958,37
1504,5725,43
5725,7873,5
7873,4840,30
4840,5818,8
5818,8282,21
8282,5401,7
5401,2265,8
5818,8297,24
2265,2874,26
2874,4356,20
2874,9696,32
9696,3958,2
9696,754,12
3958,9484,30
8297,2395,39
2395,9929,40
